class,text
negative,It shouldn't take 30 min for pancakes and eggs.
positive,It was delicious!!!
positive,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat."
negative,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas."
positive,As always the evening was wonderful and the food delicious!
positive,Best fish I've ever had in my life!
positive,(The bathroom is just next door and very nice.)
negative,The buffet is small and all the food they offered was BLAND.
positive,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.
positive,Pretty cool I would say.
negative,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.
positive,Server did a great job handling our large rowdy table.
negative,"I find wasting food to be despicable, but this just wasn't food."
negative,My wife had the Lobster Bisque soup which was lukewarm.
positive,Would come back again if I had a sushi craving while in Vegas.
positive,"The staff are great, the ambiance is great."
positive,He deserves 5 stars.
negative,I left with a stomach ache and felt sick the rest of the day.
negative,They dropped more than the ball.
positive,"The dining space is tiny, but elegantly decorated and comfortable."
positive,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!"
negative,And the beans and rice were mediocre at best.
positive,Best tacos in town by far!!
negative,I took back my money and got outta there.
positive,"In an interesting part of town, this place is amazing."
negative,RUDE & INCONSIDERATE MANAGEMENT.
negative,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes."
negative,I won't be back.
positive,They have great dinners.
positive,The service was outshining & I definitely recommend the Halibut.
negative,The food was terrible.
negative,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.
negative,I don't recommend unless your car breaks down in front of it and you are starving.
positive,I will come back here every time I'm in Vegas.
negative,This place deserves one star and 90% has to do with the food.
negative,This is a disgrace.
positive,Def coming back to bowl next time
positive,"If you want healthy authentic or ethic food, try this place."
positive,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;
positive,"I have been here several times in the past, and the experience has always been great."
positive,We walked away stuffed and happy about our first Vegas buffet experience.
positive,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.
positive,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser."
negative,I'm probably one of the few people to ever go to Ians and not like it.
positive,Kids pizza is always a hit too with lots of great side dish options for the kiddos!
positive,Service is perfect and the family atmosphere is nice to see.
positive,Cooked to perfection and the service was impeccable.
negative,This one is simply a disappointment.
negative,"Overall, I was very disappointed with the quality of food at Bouchon."
negative,I don't have to be an accountant to know I'm getting screwed!
positive,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area."
positive,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.
negative,Left very frustrated.
positive,I'll definitely be in soon again.
positive,Food was really good and I got full petty fast.
positive,Service was fantastic.
negative,TOTAL WASTE OF TIME.
positive,I don't know what kind it is but they have the best iced tea.
positive,"Come hungry, leave happy and stuffed!"
negative,"For service, I give them no stars."
positive,I can assure you that you won't be disappointed.
negative,I can take a little bad service but the food sucks.
negative,Gave up trying to eat any of the crust (teeth still sore).
negative,But now I was completely grossed out.
positive,I really enjoyed eating here.
positive,First time going but I think I will quickly become a regular.
positive,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end."
positive,From what my dinner companions told me...everything was very fresh with nice texture and taste.
negative,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop."
negative,"Furthermore, you can't even find hours of operation on the website!"
negative,We've tried to like this place but after 10+ times I think we're done with them.
negative,What a mistake that was!
positive,No complaints!
positive,This is some seriously good pizza and I'm an expert/connisseur on the topic.
negative,Waiter was a jerk.
negative,"Strike 2, who wants to be rushed."
positive,These are the nicest restaurant owners I've ever come across.
negative,I never come again.
positive,We loved the biscuits!!!
positive,Service is quick and friendly.
negative,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.
positive,So absolutley fantastic.
negative,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.
positive,definitely will come back here again.
positive,I like Steiners because it's dark and it feels like a bar.
positive,Wow very spicy but delicious.
positive,"If you're not familiar, check it out."
negative,I'll take my business dinner dollars elsewhere.
positive,I'd love to go back.
positive,"Anyway, this FS restaurant has a wonderful breakfast/lunch."
negative,Nothing special.
positive,Each day of the week they have a different deal and it's all so delicious!
positive,"Not to mention the combination of pears, almonds and bacon is a big winner!"
negative,Will not be back.
negative,Sauce was tasteless.
positive,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way."
positive,My ribeye steak was cooked perfectly and had great mesquite flavor.
negative,I don't think we'll be going back anytime soon.
positive,Food was so gooodd.
negative,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.
negative,I was so insulted.
negative,The last 3 times I had lunch here has been bad.
negative,The chicken wings contained the driest chicken meat I have ever eaten.
positive,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc."
positive,Nargile - I think you are great.
positive,Best tater tots in the southwest.
positive,We loved the place.
negative,Definitely not worth the $3 I paid.
positive,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.
positive,Im in AZ all the time and now have my new spot.
negative,The manager was the worst.
positive,The inside is really quite nice and very clean.
positive,The food was outstanding and the prices were very reasonable.
negative,I don't think I'll be running back to Carly's anytime soon for food.
negative,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things."
positive,"Love the margaritas, too!"
positive,This was my first and only Vegas buffet and it did not disappoint.
positive,"Very good, though!"
negative,The one down note is the ventilation could use some upgrading.
positive,Great pork sandwich.
negative,Don't waste your time here.
negative,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee."
negative,"Third, the cheese on my friend's burger was cold."
positive,We enjoy their pizza and brunch.
positive,The steaks are all well trimmed and also perfectly cooked.
positive,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.
positive,I LOVED it!
negative,We asked for the bill to leave without eating and they didn't bring that either.
positive,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here."
negative,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.
negative,The selection of food was not the best.
positive,Delicious and I will absolutely be back!
positive,"This isn't a small family restaurant, this is a fine dining establishment."
positive,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.
negative,I dont think I will be back for a very long time.
negative,"It was attached to a gas station, and that is rarely a good sign."
positive,How awesome is that.
positive,I will be back many times soon.
positive,The menu had so much good stuff on it i could not decide!
negative,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings."
positive,CONCLUSION: Very filling meals.
positive,Their daily specials are always a hit with my group.
negative,And then tragedy struck.
positive,The pancake was also really good and pretty large at that.
positive,"This was my first crawfish experience, and it was delicious!"
positive,Their monster chicken fried steak and eggs is my all time favorite.
positive,Waitress was sweet and funny.
positive,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!"
negative,"I'd rather eat airline food, seriously."
positive,Cant say enough good things about this place.
positive,The ambiance was incredible.
positive,The waitress and manager are so friendly.
negative,I would not recommend this place.
negative,Overall I wasn't very impressed with Noca.
negative,My gyro was basically lettuce only.
negative,Terrible service!
negative,Thoroughly disappointed!
positive,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here."
positive,"Give it a try, you will be happy you did."
positive,By far the BEST cheesecurds we have ever had!
positive,Reasonably priced also!
positive,Everything was perfect the night we were in.
positive,The food is very good for your typical bar food.
negative,it was a drive to get there.
positive,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff."
negative,"Anyway, I do not think i will go back there."
positive,"Point your finger at any item on the menu, order it and you won't be disappointed."
positive,"Oh this is such a thing of beauty, this restaurant."
positive,If you haven't gone here GO NOW!
negative,"A greasy, unhealthy meal."
negative,first time there and might just be the last.
positive,Those burgers were amazing.
negative,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late."
negative,And it was way to expensive.
positive,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for."
positive,This was my first time and I can't wait until the next.
positive,The bartender was also nice.
positive,Everything was good and tasty!
positive,This place is two thumbs up....way up.
positive,"The best place in Vegas for breakfast (just check out a Sat, or Sun."
positive,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place."
negative,Terrible management.
positive,An excellent new restaurant by an experienced Frenchman.
negative,If there were zero stars I would give it zero stars.
positive,"Great steak, great sides, great wine, amazing desserts."
negative,Worst martini ever!
positive,The steak and the shrimp are in my opinion the best entrees at GC.
positive,I had the opportunity today to sample your amazing pizzas!
negative,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).
positive,The yellowtail carpaccio was melt in your mouth fresh.
negative,I won't try going back there even if it's empty.
negative,"No, I'm going to eat the potato that I found some strangers hair in it."
positive,Just spicy enough.. Perfect actually.
positive,Last night was my second time dining here and I was so happy I decided to go back!
negative,"not even a ""hello, we will be right with you."""
negative,The desserts were a bit strange.
positive,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.
positive,"I really do recommend this place, you can go wrong with this donut place!"
positive,Nice ambiance.
positive,I would recommend saving room for this!
negative,I guess maybe we went on an off night but it was disgraceful.
negative,"However, my recent experience at this particular location was not so good."
negative,"I know this is not like the other restaurants at all, something is very off here!"
negative,AVOID THIS ESTABLISHMENT!
negative,I think this restaurant suffers from not trying hard enough.
positive,All of the tapas dishes were delicious!
positive,I *heart* this place.
negative,My salad had a bland vinegrette on the baby greens and hearts of Palm.
negative,After two I felt disgusting.
positive,A good time!
positive,I believe that this place is a great stop for those with a huge belly and hankering for sushi.
positive,Generous portions and great taste.
negative,I will never go back to this place and will never ever recommended this place to anyone!
negative,"The servers went back and forth several times, not even so much as an ""Are you being helped?"""
positive,Food was delicious!
negative,AN HOUR... seriously?
negative,I consider this theft.
negative,Eew... This location needs a complete overhaul.
negative,We recently witnessed her poor quality of management towards other guests as well.
negative,Waited and waited and waited.
positive,"He also came back to check on us regularly, excellent service."
positive,Our server was super nice and checked on us many times.
negative,"The pizza tasted old, super chewy in not a good way."
negative,I swung in to give them a try but was deeply disappointed.
positive,Service was good and the company was better!
positive,The staff are also very friendly and efficient.
positive,"As for the service: I'm a fan, because it's quick and you're being served by some nice folks."
negative,Boy was that sucker dry!!.
negative,Over rated.
negative,"If you look for authentic Thai food, go else where."
positive,Their steaks are 100% recommended!
negative,After I pulled up my car I waited for another 15 minutes before being acknowledged.
positive,Great food and great service in a clean and friendly setting.
positive,"All in all, I can assure you I'll be back."
negative,I hate those things as much as cheap quality black olives.
positive,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar."
negative,The kids play area is NASTY!
positive,Great place fo take out or eat in.
positive,The waitress was friendly and happy to accomodate for vegan/veggie options.
positive,OMG I felt like I had never eaten Thai food until this dish.
negative,"It was extremely ""crumby"" and pretty tasteless."
negative,It was a pale color instead of nice and char and has NO flavor.
positive,The croutons also taste homemade which is an extra plus.
negative,I got home to see the driest damn wings ever!
positive,It'll be a regular stop on my trips to Phoenix!
positive,I really enjoyed Crema Caf̩ before they expanded; I even told friends they had the BEST breakfast.
negative,Not good for the money.
positive,I miss it and wish they had one in Philadelphia!
negative,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived."
